1,Spanish Liga,2015-06-01,2015-08-31,2016-01-01,2016-02-02
2,English Premier League,2015-06-09,2015-08-31,2016-01-01,2016-01-31
3,German Bundesliga,2015-06-01,2015-08-31,2016-01-01,2016-02-02
4,Italian Serie A,2015-06-01,2015-08-31,2016-01-01,2016-02-02
5,French Ligue 1,2015-06-01,2015-08-31,2016-01-01,2016-02-02
6,Russian Premier League,2015-06-17,2015-09-06,2016-01-28,2016-02-27
7,USA Major League Soccer,2016-02-12,2016-05-06,2015-07-09,2015-08-08
8,Argentina Premier Division,2015-06-19,2015-09-10,2016-01-25,2016-02-24
9,Brazil Serie A,2016-01-28,2016-04-20,2015-06-20,2015-07-19
